Version = quicksort
CILKPUB_DATA_POINT, 94.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 112.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 581.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 29.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 93.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 113.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 582.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 30.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 94.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 113.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 589.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 30.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 93.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 112.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 582.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 30.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 94.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 112.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 584.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 29.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 51.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 61.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 379.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 51.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 61.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 378.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 50.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 61.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 379.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 51.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 61.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 380.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 51.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 61.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 379.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 37.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 44.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 264.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 36.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 44.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 266.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 36.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 44.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 264.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 36.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 44.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 264.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 37.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 44.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 265.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 30.000000, 4, uniform int, [sort], []
CILKPUB_DATA_POINT, 36.000000, 4, exponential double, [sort], []
CILKPUB_DATA_POINT, 221.000000, 4, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 4, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 30.000000, 4, uniform int, [sort], []
CILKPUB_DATA_POINT, 35.000000, 4, exponential double, [sort], []
CILKPUB_DATA_POINT, 221.000000, 4, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 4, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 29.000000, 4, uniform int, [sort], []
CILKPUB_DATA_POINT, 36.000000, 4, exponential double, [sort], []
CILKPUB_DATA_POINT, 208.000000, 4, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 4, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 30.000000, 4, uniform int, [sort], []
CILKPUB_DATA_POINT, 36.000000, 4, exponential double, [sort], []
CILKPUB_DATA_POINT, 215.000000, 4, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 4, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 30.000000, 4, uniform int, [sort], []
CILKPUB_DATA_POINT, 36.000000, 4, exponential double, [sort], []
CILKPUB_DATA_POINT, 209.000000, 4, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 4, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 26.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 31.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 175.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 27.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 31.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 178.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 26.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 31.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 180.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 26.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 31.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 175.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 26.000000, 5, uniform int, [sort], []
CILKPUB_DATA_POINT, 31.000000, 5, exponential double, [sort], []
CILKPUB_DATA_POINT, 175.000000, 5, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 5, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 24.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 28.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 161.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 24.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 28.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 158.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 25.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 28.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 154.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 24.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 28.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 153.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 24.000000, 6, uniform int, [sort], []
CILKPUB_DATA_POINT, 28.000000, 6, exponential double, [sort], []
CILKPUB_DATA_POINT, 154.000000, 6, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 6, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 138.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 21.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 138.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 23.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 138.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 141.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 7, uniform int, [sort], []
CILKPUB_DATA_POINT, 25.000000, 7, exponential double, [sort], []
CILKPUB_DATA_POINT, 145.000000, 7, strings, [sort], []
CILKPUB_DATA_POINT, 19.000000, 7, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 25.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 131.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 21.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 24.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 129.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 128.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 26.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 137.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 8, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 22.000000, 8, uniform int, [sort], []
CILKPUB_DATA_POINT, 25.000000, 8, exponential double, [sort], []
CILKPUB_DATA_POINT, 129.000000, 8, strings, [sort], []
CILKPUB_DATA_POINT, 18.000000, 8, stability_check_uniform, [sort], []
