Version = samplesort
CILKPUB_DATA_POINT, 89.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 107.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 617.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 47.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 88.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 108.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 614.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 48.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 88.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 107.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 622.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 47.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 89.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 108.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 614.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 47.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 88.000000, 1, uniform int, [sort], []
CILKPUB_DATA_POINT, 109.000000, 1, exponential double, [sort], []
CILKPUB_DATA_POINT, 615.000000, 1, strings, [sort], []
CILKPUB_DATA_POINT, 47.000000, 1, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 45.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 56.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 341.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 26.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 46.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 57.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 341.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 28.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 46.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 55.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 341.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 26.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 46.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 56.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 342.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 26.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 46.000000, 2, uniform int, [sort], []
CILKPUB_DATA_POINT, 57.000000, 2, exponential double, [sort], []
CILKPUB_DATA_POINT, 340.000000, 2, strings, [sort], []
CILKPUB_DATA_POINT, 27.000000, 2, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 32.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 40.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 236.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 32.000000, 3, uniform int, [sort], []
CILKPUB_DATA_POINT, 38.000000, 3, exponential double, [sort], []
CILKPUB_DATA_POINT, 237.000000, 3, strings, [sort], []
CILKPUB_DATA_POINT, 20.000000, 3, stability_check_uniform, [sort], []
CILKPUB_DATA_POINT, 31.000000, 3, uniform int, [sort], []
